,Word,Embeddings similarity,Neighbours similarity
0,april,0.764793405015,0.86021767263
1,june,0.738823662223,0.86257545301
2,the,0.722804861331,0.0
3,repre,0.718790843105,0.0329457747643
4,november,0.717426546617,0.861103115446
5,february,0.713635458441,0.86057567688
6,years,0.70927306434,0.65080614191
7,de,0.705213280138,0.0455597011864
8,beautiful,0.704215865631,0.442680182632
9,october,0.702855960602,0.856969432132
10,increase,0.698569923945,0.439537078321
11,january,0.698204449882,0.855918128862
12,century,0.69269382854,0.834929127584
13,thy,0.692560281845,0.486410874429
14,months,0.690279441477,0.715706658584
15,daughter,0.688322940109,0.628514058334
16,sell,0.688181106098,0.609747632927
17,increased,0.687654130046,0.544369035371
18,la,0.686924116614,0.0437179787854
19,december,0.686262420013,0.857245704346
20,god,0.684915491703,0.26103487464
21,september,0.68213098718,0.863543145136
22,feet,0.681335397072,0.375845474693
23,celui,0.68042758105,0.0
24,week,0.680072355637,0.728747627144
25,evening,0.678137480032,0.517726031785
26,door,0.677717726122,0.358129589651
27,payment,0.677286419207,0.415137002325
28,during,0.674571830194,0.559873194141
29,miles,0.674287085186,0.36510189867
30,evidence,0.672175164565,0.392206123413
31,twenty,0.670390813824,0.780844516782
32,july,0.670169990279,0.857693353069
33,husband,0.669633703622,0.626241762131
34,coast,0.669556882875,0.469915681341
35,tell,0.669160222021,0.589769389616
36,she,0.668148981949,0.178292632847
37,trees,0.667854533755,0.335873894964
38,votre,0.667801896672,0.0
39,disease,0.667791306036,0.177631047596
40,two,0.667394042131,0.757752469763
41,between,0.667262042137,0.341480299652
42,river,0.665955641657,0.216276800752
43,protect,0.665856262545,0.507237515313
44,sat,0.665476827455,0.575841670911
45,church,0.665180814334,0.573008129496
46,six,0.663793189458,0.854838683743
47,most,0.663104639063,0.138178709009
48,consisting,0.662934831724,0.511806127905
49,water,0.66235743112,0.206792435592
50,know,0.662319055478,0.535590353675
51,poet,0.661578253216,0.592449609622
52,autumn,0.661350804269,0.641918870645
53,spaniards,0.660761610316,0.328252518619
54,brother,0.659964895377,0.792742876801
55,vessels,0.65978153572,0.446934738938
56,occur,0.65899624587,0.311067640929
57,seventeenth,0.657663373672,0.88747332931
58,unable,0.657513013012,0.639756467096
59,mémoires,0.657232269193,0.0
60,centuries,0.656803274892,0.575829964752
61,sixty,0.655929469571,0.821352539187
62,hours,0.655663254322,0.646522503843
63,dressed,0.655568251265,0.432212205433
64,mieux,0.655229570574,0.0
65,person,0.65514319167,0.226658745044
66,buildings,0.655022014827,0.349620250803
67,thee,0.654857395708,0.473854955573
68,existed,0.653862692888,0.460987846567
69,her,0.653095867027,0.324495616352
70,published,0.652617507078,0.275932988416
71,quand,0.652596230838,0.0
72,italie,0.652403381238,0.0
73,royaume,0.652315790584,0.0
74,mother,0.652191453476,0.639876512094
75,got,0.652141883794,0.545508732713
76,kirke,0.651257568881,0.0225908381571
77,say,0.651179660546,0.574965357522
78,loud,0.651136690373,0.328675456857
79,drink,0.651016319446,0.457798829543
80,gaillard,0.650452213067,0.0
81,provisions,0.649881021331,0.468315893418
82,cried,0.649747949806,0.394239526081
83,period,0.649711043216,0.496999161742
84,william,0.649590136146,0.0809205878752
85,average,0.648921737761,0.496648596722
86,quelques,0.648462929052,0.0
87,sea,0.648372134422,0.501756572832
88,think,0.64790743536,0.536604537437
89,walls,0.647826495794,0.184615235562
90,try,0.647740587453,0.526121709967
91,temperature,0.64765951644,0.467168171452
92,france,0.647630042066,0.57826110699
93,posterior,0.647619801434,0.233220778479
94,get,0.647494723363,0.481804986543
95,buy,0.647296962152,0.611411357477
96,waters,0.646861363429,0.504851772512
97,ships,0.646581905354,0.341277485892
98,going,0.646052990259,0.477999881312
99,spoke,0.645876599785,0.471849178215
100,differences,0.64574687918,0.371869981232
101,walked,0.6457466218,0.339435685841
102,located,0.645481869353,0.444384840774
103,summer,0.645403699473,0.468831101553
104,morning,0.644964934623,0.549774542684
105,thirty,0.64486349203,0.801634897281
106,mountains,0.644719036902,0.345105715009
107,wrote,0.643977646498,0.397485833316
108,eight,0.643653802941,0.849563410133
109,money,0.64364316716,0.513788848919
110,decade,0.64349549491,0.654468741914
111,price,0.643321033399,0.503478122365
112,les,0.643054308517,0.0342903842167
113,killed,0.643036900451,0.458612709487
114,clothes,0.643022442118,0.481957083053
115,year,0.643018057891,0.425445610179
116,kinds,0.642882902513,0.395672083227
117,million,0.642702750348,0.450997601144
118,arrived,0.642673716218,0.326225910488
119,harpe,0.641715409538,0.0285451165031
120,difficult,0.6416616865,0.380677900004
121,four,0.641579045864,0.80105902669
122,majority,0.641448798396,0.388194387501
123,sitting,0.641296810863,0.535096445917
124,various,0.641192471163,0.490500108097
125,nineteenth,0.640652451599,0.858811819467
126,mixture,0.640485796843,0.198703345598
127,music,0.640467408592,0.380487870258
128,toward,0.640296939413,0.318833742121
129,pay,0.640075032861,0.435286451645
130,doorway,0.640043840977,0.502974388012
131,results,0.639915301726,0.379331538339
132,french,0.639862396298,0.499161786994
133,amount,0.639354696183,0.525504208958
134,words,0.639346784617,0.533758144355
135,direction,0.638963742886,0.342155710797
136,invited,0.638961199433,0.51761487529
137,troops,0.638405167206,0.451753473816
138,do,0.638106515703,0.507871977605
139,ten,0.638060907917,0.873535161804
140,important,0.637949294311,0.376861022437
141,paid,0.63789722991,0.514806703664
142,talking,0.637595001747,0.479792272802
143,peur,0.63748155364,0.0
144,month,0.637428508923,0.485660460864
145,county,0.637423894929,0.127619033441
146,three,0.637047148485,0.812923661327
147,autriche,0.63695321048,0.0
148,surface,0.636602476402,0.145776764663
149,east,0.636546665552,0.465958076023
150,clergy,0.636487206741,0.523796031301
151,wife,0.636382485176,0.742185527523
152,room,0.63629343218,0.530535444387
153,villages,0.636262204928,0.442426404312
154,belief,0.636225029515,0.307603581723
155,season,0.63619145902,0.526024664866
156,bruyere,0.636006010255,0.0232387176984
157,candidates,0.635857721255,0.642748503886
158,heard,0.635827721302,0.531797759381
159,five,0.635714114608,0.74368429413
160,proportional,0.635139735621,0.279261581525
161,sent,0.634884305981,0.40592198709
162,use,0.63474135938,0.228072949356
163,spanish,0.63442517485,0.531690387975
164,devoted,0.633989973361,0.381273026277
165,poem,0.633926100422,0.405328239536
166,composed,0.633602918082,0.307006380484
167,imported,0.633359790039,0.599989070383
168,officer,0.633234833628,0.362658783284
169,puis,0.633119034127,0.049824154265
170,contain,0.633038684264,0.359497617911
171,suffering,0.632983873689,0.406820326056
172,names,0.632878920169,0.411696136588
173,officers,0.632761696581,0.312932166883
174,told,0.632596957605,0.505443738094
175,commander,0.631109502576,0.390544023931
176,education,0.630764359964,0.285831426392
177,attempt,0.630147716626,0.673489665646
178,sides,0.630022475635,0.315890887411
179,per,0.629795843461,0.203746598445
180,officials,0.629422910579,0.263164689215
181,died,0.629391830073,0.305013366868
182,spent,0.629315878777,0.569499391695
183,portion,0.628877708614,0.396382768266
184,hear,0.628857191099,0.513745525038
185,borromeo,0.628772456257,0.0
186,violation,0.628686554367,0.484826792453
187,moreover,0.628536252714,0.482114169493
188,hectares,0.627943278578,0.26160691833
189,arrival,0.627923826587,0.375289930992
190,old,0.627791149066,0.280644199698
191,considered,0.627784810766,0.505953841293
192,powerful,0.627784591665,0.459133497655
193,property,0.627657253358,0.287013824259
194,prices,0.627506427843,0.430498958405
195,parents,0.627433982703,0.588355270626
196,saying,0.627382494683,0.467998803024
197,realization,0.627110828725,0.553222828527
198,john,0.626723732652,0.0210519404524
199,anyone,0.626592536966,0.546127549415
200,anterior,0.626590300427,0.254891462727
201,source,0.626570393133,0.347810828654
202,myelitis,0.626318552415,0.0218752253904
203,understand,0.626206241509,0.680498981913
204,me,0.626143002319,0.50822624114
205,occurred,0.625743396252,0.35010872331
206,christ,0.625571692499,0.500137431974
207,ammunition,0.625565802161,0.33710675186
208,gratitude,0.625469953357,0.521814780022
209,meat,0.625178732287,0.449464097227
210,trying,0.625173205747,0.477572938748
211,enjoyment,0.625152401673,0.442984851005
212,decrease,0.624848947268,0.561764547589
213,few,0.624700716386,0.663671165779
214,persons,0.624287778753,0.346861837156
215,fatherin,0.623433425642,0.0
216,artist,0.623349136617,0.529076754126
217,commodities,0.623190518056,0.466571412191
218,glanced,0.623131522207,0.419456256412
219,number,0.623103418303,0.459910723194
220,determine,0.623085054197,0.485000114217
221,son,0.622786284038,0.526096145094
222,duties,0.622716688747,0.453532650787
223,beauty,0.622590651233,0.487541479542
224,spite,0.622527048558,0.297721061235
225,endowed,0.622426553065,0.373801836462
226,countries,0.62237766149,0.118710844002
227,method,0.62211492172,0.260175785046
228,necessary,0.622028550123,0.624444652738
229,enormous,0.621987733498,0.447113603028
230,spain,0.621786634167,0.519889505115
231,line,0.621733990128,0.543189067515
232,election,0.621728889727,0.567443793897
233,weeks,0.621689716732,0.759517427144
234,torquemada,0.621132632558,0.0
235,members,0.621075174653,0.381039755582
236,palace,0.620867791898,0.218750566017
237,dans,0.62064271308,0.0435755359864
238,soldiers,0.620617608025,0.421034778886
239,depends,0.6206165292,0.453408653904
240,bought,0.620555020892,0.579163981437
241,lasted,0.62044207285,0.532272868397
242,avoir,0.62035130953,0.0
243,newspapers,0.620282833716,0.462993504913
